student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,42.8,58.2,60.1,53.9,e,Male,Private,Yes,E,Fail,53.699999999999996,54.0
43,18,female,public,phd,1.1,53.3,yes,15-30 min,no,group study,31.4,36.4,29.0,23.7,f,Female,Public,Yes,F,Fail,32.266666666666666,53.3
44,16,female,private,phd,2.3,91.1,yes,30-60 min,no,mixed,76.4,56.2,56.4,63.6,d,Female,Private,Yes,D,Pass,63.00000000000001,91.1
45,14,male,private,no formal,1.2,59.1,yes,<15 min,no,group study,37.5,35.0,54.0,42.3,e,Male,Private,Yes,E,Fail,42.166666666666664,59.1
46,19,female,private,graduate,7.8,72.4,yes,30-60 min,no,mixed,77.3,94.5,88.0,83.5,c,Female,Private,Yes,C,Pass,86.60000000000001,72.4
47,16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,42.4,29.9,53.9,48.7,e,Other,Public,Yes,E,Fail,42.06666666666666,96.8
48,19,male,private,high school,7.8,60.4,yes,>60 min,yes,online videos,85.1,100.0,100.0,96.3,a,Male,Private,Yes,A,Pass,95.03333333333335,60.4
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,31.5,26.9,32.6,37.5,f,Male,Private,Yes,F,Fail,30.333333333333332,89.0
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,86.6,91.1,100.0,95.9,a,Male,Private,No,A,Pass,92.56666666666666,79.2
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,66.9,66.7,82.8,76.2,c,Male,Public,Yes,C,Pass,72.13333333333334,70.3
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,87.1,78.6,99.8,90.4,b,Male,Private,Yes,B,Pass,88.5,73.0
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,77.9,80.5,79.9,77.0,c,Female,Public,Yes,C,Pass,79.43333333333334,70.5
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,95.8,93.3,85.2,88.4,b,Other,Public,No,B,Pass,91.43333333333334,91.4
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,91.9,85.6,100.0,92.5,b,Other,Private,Yes,B,Pass,92.5,90.7
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,39.3,25.2,39.2,39.5,f,Other,Public,Yes,F,Fail,34.56666666666667,68.7
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,83.4,81.5,79.5,86.2,b,Other,Public,No,B,Pass,81.46666666666667,84.9
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,67.8,81.5,67.3,76.9,c,Female,Private,Yes,C,Pass,72.2,76.6
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,39.8,40.9,59.9,41.1,e,Other,Public,Yes,E,Fail,46.86666666666667,87.4
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,51.3,48.7,53.4,46.2,e,Male,Private,Yes,E,Fail,51.13333333333333,52.5
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,69.7,61.7,53.0,65.1,d,Other,Public,Yes,D,Pass,61.46666666666667,66.8
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,78.9,63.1,83.9,85.8,b,Male,Private,Yes,B,Pass,75.3,66.8
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,76.1,61.2,76.7,77.4,c,Other,Private,Yes,C,Pass,71.33333333333333,79.8
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,62.7,65.5,47.6,54.9,e,Male,Public,Yes,E,Fail,58.599999999999994,60.4
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,84.1,83.3,88.2,80.9,c,Male,Private,Yes,C,Pass,85.19999999999999,76.6
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,32.1,28.5,38.0,39.2,f,Female,Public,Yes,F,Fail,32.86666666666667,99.0
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,33.8,45.9,47.3,46.9,e,Other,Private,Yes,E,Fail,42.33333333333333,52.2
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,57.3,100.0,71.8,82.4,c,Male,Public,No,C,Pass,76.36666666666667,75.2
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,54.0,34.8,35.3,40.8,e,Male,Private,Yes,E,Fail,41.36666666666667,56.9
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,80.1,57.2,47.2,57.1,d,Female,Private,Yes,D,Pass,61.5,79.1
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,32.0,30.9,51.4,24.6,f,Other,Public,No,F,Fail,38.1,62.0
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,41.4,43.6,23.8,50.0,e,Other,Public,Yes,E,Fail,36.266666666666666,95.1
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,33.9,62.8,30.7,37.1,f,Female,Private,Yes,F,Fail,42.46666666666666,65.9
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,53.1,58.0,59.5,59.5,d,Female,Private,Yes,D,Pass,56.86666666666667,97.9
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,48.3,63.2,46.5,51.5,e,Female,Private,No,E,Fail,52.666666666666664,50.2
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,99.6,100.0,99.1,96.4,a,Other,Public,Yes,A,Pass,99.56666666666666,91.6
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,36.6,40.0,23.7,32.0,f,Male,Private,No,F,Fail,33.43333333333333,63.1
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,71.2,87.5,84.0,80.7,c,Male,Public,Yes,C,Pass,80.89999999999999,60.1
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,94.7,75.8,100.0,91.5,b,Male,Private,Yes,B,Pass,90.16666666666667,94.2
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,5.9,19.0,12.8,32.7,f,Male,Private,No,F,Fail,12.566666666666668,65.2
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,74.0,75.2,54.3,59.6,d,Female,Private,Yes,D,Pass,67.83333333333333,79.2
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,44.8,48.9,54.0,58.5,d,Other,Public,Yes,D,Pass,49.23333333333333,86.8
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,83.6,100.0,98.5,83.0,c,Female,Public,Yes,C,Pass,94.03333333333335,71.0
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,74.1,55.2,72.0,69.1,d,Female,Private,No,D,Pass,67.10000000000001,55.1
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,63.8,57.9,53.0,61.7,d,Male,Public,Yes,D,Pass,58.23333333333333,96.1
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,49.0,45.7,45.0,43.9,e,Female,Public,Yes,E,Fail,46.56666666666666,82.4
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,74.3,57.7,46.7,61.3,d,Male,Public,Yes,D,Pass,59.56666666666666,94.6
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,67.7,81.7,89.5,73.9,c,Other,Private,No,C,Pass,79.63333333333334,88.4
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,55.6,73.1,57.4,53.4,e,Female,Public,No,E,Fail,62.03333333333333,88.7
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,57.0,56.1,62.6,63.4,d,Female,Private,Yes,D,Pass,58.56666666666666,79.5
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,71.3,50.2,63.1,59.9,d,Other,Public,Yes,D,Pass,61.53333333333333,50.3
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,80.5,86.2,79.4,82.0,c,Male,Private,Yes,C,Pass,82.03333333333333,94.1
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,40.0,46.1,31.2,41.3,e,Female,Public,Yes,E,Fail,39.1,91.5
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,57.3,49.7,54.7,59.5,d,Female,Public,No,D,Pass,53.9,86.4
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,80.2,93.9,87.6,76.8,c,Male,Private,Yes,C,Pass,87.23333333333335,93.9
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,86.9,79.9,88.2,87.9,b,Male,Public,Yes,B,Pass,85.0,59.2
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,65.6,73.9,70.1,66.6,d,Male,Public,Yes,D,Pass,69.86666666666666,64.1
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,42.3,46.6,57.5,46.2,e,Male,Private,Yes,E,Fail,48.800000000000004,57.9
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,37.2,50.4,48.3,39.9,f,Other,Private,Yes,F,Fail,45.29999999999999,82.3
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,67.8,57.0,61.6,66.9,d,Male,Private,No,D,Pass,62.13333333333333,71.9
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,76.8,73.0,74.8,66.8,d,Male,Public,Yes,D,Pass,74.86666666666667,55.1
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,72.3,48.8,70.5,68.8,d,Other,Private,Yes,D,Pass,63.86666666666667,78.8
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,68.7,72.3,64.8,73.5,c,Female,Public,Yes,C,Pass,68.60000000000001,66.9
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,77.9,75.6,89.0,81.9,c,Other,Private,Yes,C,Pass,80.83333333333333,74.5
105,18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,notes,100.0,90.8,96.0,86.4,b,Other,Private,Yes,B,Pass,95.60000000000001,63.1
106,18,male,private,graduate,2.8,58.1,yes,15-30 min,no,group study,24.0,58.0,23.3,39.3,f,Male,Private,Yes,F,Fail,35.1,58.1
107,18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,textbook,39.3,44.8,42.7,52.9,e,Female,Private,Yes,E,Fail,42.266666666666666,72.5
108,17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,textbook,68.3,78.7,66.9,75.9,c,Male,Private,No,C,Pass,71.3,61.3
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,71.6,60.4,85.2,65.2,d,Female,Public,Yes,D,Pass,72.39999999999999,70.3
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,73.4,96.5,74.7,82.4,c,Other,Private,No,C,Pass,81.53333333333335,69.1
111,15,other,private,phd,4.2,97.0,yes,30-60 min,yes,online videos,58.0,71.2,49.0,67.3,d,Other,Private,Yes,D,Pass,59.4,97.0
112,18,other,private,high school,7.7,59.3,yes,30-60 min,yes,online videos,98.5,85.1,76.7,88.9,b,Other,Private,Yes,B,Pass,86.76666666666667,59.3
113,17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,21.1,43.7,43.6,35.7,f,Male,Public,Yes,F,Fail,36.13333333333333,64.3
114,16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,group study,81.1,63.6,67.7,74.2,c,Male,Private,Yes,C,Pass,70.8,89.6
115,17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,mixed,73.7,64.0,52.8,61.3,d,Female,Public,Yes,D,Pass,63.5,64.8
116,17,male,private,phd,0.5,74.0,yes,<15 min,no,textbook,44.4,35.1,20.1,37.1,f,Male,Private,Yes,F,Fail,33.199999999999996,74.0
117,14,female,private,phd,1.9,88.1,yes,15-30 min,no,mixed,57.0,61.8,63.6,54.8,e,Female,Private,Yes,E,Fail,60.800000000000004,88.1
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,coaching,39.2,12.8,40.9,32.1,f,Other,Private,No,F,Fail,30.96666666666667,50.2
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,65.9,32.0,41.9,39.6,f,Male,Private,Yes,F,Fail,46.6,97.8
120,14,other,public,phd,7.6,73.1,yes,15-30 min,no,online videos,82.3,79.1,72.6,81.9,c,Other,Public,Yes,C,Pass,77.99999999999999,73.1
121,16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,group study,92.4,76.4,86.1,92.0,b,Other,Public,Yes,B,Pass,84.96666666666667,88.0
122,18,other,public,post graduate,7.2,96.0,yes,<15 min,no,notes,100.0,71.6,83.4,89.4,b,Other,Public,Yes,B,Pass,85.0,96.0
123,17,male,private,diploma,7.9,93.8,yes,>60 min,yes,coaching,92.7,100.0,95.8,98.4,a,Male,Private,Yes,A,Pass,96.16666666666667,93.8
124,16,male,private,diploma,6.7,61.0,yes,>60 min,no,group study,85.3,86.2,80.0,87.8,b,Male,Private,Yes,B,Pass,83.83333333333333,61.0
125,19,male,private,high school,7.5,77.8,no,<15 min,no,mixed,100.0,100.0,76.9,87.1,b,Male,Private,No,B,Pass,92.3,77.8
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,62.7,52.9,52.8,53.1,e,Male,Private,No,E,Fail,56.133333333333326,70.5
127,14,male,private,graduate,2.4,76.6,no,30-60 min,no,notes,40.3,64.6,67.1,52.7,e,Male,Private,No,E,Fail,57.333333333333336,76.6
128,18,female,public,no formal,7.0,89.0,yes,>60 min,no,mixed,83.8,71.4,71.2,82.6,c,Female,Public,Yes,C,Pass,75.46666666666665,89.0
129,17,male,private,graduate,4.1,67.7,yes,>60 min,no,online videos,72.3,71.7,66.9,65.0,d,Male,Private,Yes,D,Pass,70.3,67.7
130,17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,textbook,80.4,66.8,92.5,81.1,c,Male,Private,Yes,C,Pass,79.89999999999999,73.9
131,17,other,public,phd,4.7,80.4,yes,>60 min,yes,online videos,72.7,78.1,75.3,73.8,c,Other,Public,Yes,C,Pass,75.36666666666667,80.4
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,27.5,63.3,41.9,40.6,e,Other,Private,Yes,E,Fail,44.23333333333333,63.5
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,49.8,39.9,35.2,43.3,e,Other,Private,Yes,E,Fail,41.63333333333333,80.3
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,99.2,81.5,86.3,78.3,c,Male,Private,Yes,C,Pass,89.0,57.4
135,18,female,private,phd,4.5,81.1,yes,<15 min,no,coaching,77.4,70.7,84.0,73.4,c,Female,Private,Yes,C,Pass,77.36666666666667,81.1
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,59.8,53.9,63.5,50.1,e,Female,Private,Yes,E,Fail,59.06666666666666,57.2
137,17,male,public,phd,5.1,88.8,no,15-30 min,yes,textbook,72.8,80.9,87.6,81.6,c,Male,Public,No,C,Pass,80.43333333333332,88.8
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,coaching,43.6,78.1,50.4,54.2,e,Other,Public,No,E,Fail,57.36666666666667,59.7
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,59.7,71.3,67.0,67.6,d,Female,Private,Yes,D,Pass,66.0,82.3
140,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,88.7,76.9,76.4,85.7,b,Other,Public,Yes,B,Pass,80.66666666666667,79.1
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,53.8,46.4,54.2,52.6,e,Male,Private,Yes,E,Fail,51.46666666666666,71.3
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,73.5,100.0,92.8,89.7,b,Female,Public,Yes,B,Pass,88.76666666666667,82.3
143,15,male,private,phd,4.1,92.3,yes,30-60 min,yes,online videos,58.5,59.0,66.5,62.0,d,Male,Private,Yes,D,Pass,61.333333333333336,92.3
144,16,other,private,diploma,7.7,56.0,yes,<15 min,no,mixed,79.1,91.3,92.0,78.7,c,Other,Private,Yes,C,Pass,87.46666666666665,56.0
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,99.1,100.0,96.2,95.6,a,Female,Private,No,A,Pass,98.43333333333334,83.8
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,90.9,86.7,82.9,90.2,b,Male,Public,Yes,B,Pass,86.83333333333333,70.5
147,14,male,private,graduate,6.2,83.7,no,30-60 min,yes,mixed,93.3,78.5,82.8,84.5,c,Male,Private,No,C,Pass,84.86666666666667,83.7
148,15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,coaching,58.1,77.1,74.9,71.7,c,Female,Private,Yes,C,Pass,70.03333333333333,93.8
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,87.0,58.0,76.3,68.7,d,Male,Public,Yes,D,Pass,73.76666666666667,82.6
150,14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,group study,41.0,73.1,57.3,61.2,d,Male,Private,Yes,D,Pass,57.133333333333326,58.0
151,19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,47.8,30.8,32.8,36.9,f,Other,Public,Yes,F,Fail,37.13333333333333,70.8
152,15,other,private,graduate,2.1,77.5,yes,30-60 min,no,group study,52.8,37.9,45.6,39.3,f,Other,Private,Yes,F,Fail,45.43333333333333,77.5
153,19,female,public,diploma,0.8,56.3,yes,>60 min,no,notes,12.8,26.2,14.7,22.6,f,Female,Public,Yes,F,Fail,17.900000000000002,56.3
154,15,other,private,diploma,6.1,82.2,yes,<15 min,yes,mixed,100.0,91.6,92.1,87.5,b,Other,Private,Yes,B,Pass,94.56666666666666,82.2
155,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,45.4,37.1,55.7,46.8,e,Female,Private,Yes,E,Fail,46.06666666666666,85.7
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,75.8,57.7,77.6,77.5,c,Male,Private,Yes,C,Pass,70.36666666666666,88.1
157,14,other,private,high school,1.5,56.0,yes,<15 min,no,coaching,35.6,20.4,33.1,26.5,f,Other,Private,Yes,F,Fail,29.7,56.0
158,17,male,private,no formal,1.0,85.3,no,15-30 min,no,mixed,39.8,41.5,27.9,38.4,f,Male,Private,No,F,Fail,36.4,85.3
159,17,other,private,high school,4.5,68.3,yes,<15 min,no,coaching,53.4,67.8,55.6,58.1,d,Other,Private,Yes,D,Pass,58.93333333333333,68.3
160,18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,group study,82.7,71.7,77.0,86.0,b,Female,Public,Yes,B,Pass,77.13333333333334,60.6
161,19,male,private,high school,3.2,76.2,no,15-30 min,no,group study,51.0,48.2,54.2,48.9,e,Male,Private,No,E,Fail,51.13333333333333,76.2
162,17,male,public,no formal,7.4,78.6,yes,<15 min,no,online videos,80.1,69.3,61.2,86.0,b,Male,Public,Yes,B,Pass,70.19999999999999,78.6
163,16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,group study,43.3,13.9,45.8,37.8,f,Other,Private,Yes,F,Fail,34.333333333333336,72.8
164,16,other,private,phd,4.0,92.0,yes,<15 min,yes,textbook,67.0,93.9,65.3,71.9,c,Other,Private,Yes,C,Pass,75.39999999999999,92.0
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,39.0,38.4,35.6,43.4,e,Female,Private,No,E,Fail,37.666666666666664,57.8
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,54.1,59.9,70.7,58.3,d,Male,Public,Yes,D,Pass,61.56666666666666,70.4
167,15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,group study,18.0,45.5,36.2,37.8,f,Other,Public,Yes,F,Fail,33.233333333333334,63.4
168,15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,notes,29.6,50.3,27.8,32.4,f,Other,Private,Yes,F,Fail,35.9,52.4
169,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,70.4,64.0,69.2,66.2,d,Female,Private,Yes,D,Pass,67.86666666666667,67.0
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,95.2,71.2,80.1,78.4,c,Female,Public,Yes,C,Pass,82.16666666666667,85.9
171,14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,54.8,33.5,38.2,39.6,f,Other,Public,No,F,Fail,42.166666666666664,76.2
172,14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,group study,86.9,84.2,97.3,86.7,b,Female,Private,Yes,B,Pass,89.46666666666668,70.9
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,80.7,80.6,58.2,80.8,c,Male,Private,Yes,C,Pass,73.16666666666667,73.7
